Source	Destination	Delay	WaitPick	WaitDrop	SequencePick	SequenceDrop	TaskID          
           23           33           20         0.01         0.01            1            6            1
           65           33           40         0.01         0.01            1            7            2
           23           31           60         0.01         0.01            1            2            3
           65           73           80         0.01         0.01            1            1            4
           24           33          100         0.01         0.01            1            5            5
           66           76          120         0.01         0.01            1            7            6
           23           76          140         0.01         0.01            1            2            7
           64           31          160         0.01         0.01            1            3            8
           65           32          180         0.01         0.01            1            1            9
           63           34          200         0.01         0.01            1            3           10
           22           75          220         0.01         0.01            1            7           11
           23           76          240         0.01         0.01            1            5           12
           63           73          260         0.01         0.01            1            4           13
           63           73          280         0.01         0.01            1            6           14
           65           74          300         0.01         0.01            1            3           15
           24           34          320         0.01         0.01            1            4           16
           63           76          340         0.01         0.01            1            6           17
           63           33          360         0.01         0.01            1            3           18
           64           75          380         0.01         0.01            1            5           19
           23           74          400         0.01         0.01            1            1           20
           21           76          420         0.01         0.01            1            1           21
           66           75          440         0.01         0.01            1            4           22
           24           73          460         0.01         0.01            1            5           23
           65           34          480         0.01         0.01            1            2           24
           24           74          500         0.01         0.01            1            6           25
           66           32          520         0.01         0.01            1            2           26
           21           32          540         0.01         0.01            1            6           27
           21           31          560         0.01         0.01            1            1           28
           21           74          580         0.01         0.01            1            5           29
           23           74          600         0.01         0.01            1            2           30
           66           33          620         0.01         0.01            1            1           31
           64           34          640         0.01         0.01            1            6           32
           65           32          660         0.01         0.01            1            5           33
           22           32          680         0.01         0.01            1            7           34
           22           32          700         0.01         0.01            1            4           35
           22           31          720         0.01         0.01            1            5           36
           66           33          740         0.01         0.01            1            2           37
           24           73          760         0.01         0.01            1            7           38
           24           75          780         0.01         0.01            1            1           39
           63           34          800         0.01         0.01            1            1           40
           23           76          820         0.01         0.01            1            3           41
           66           75          840         0.01         0.01            1            3           42
           22           33          860         0.01         0.01            1            4           43
           22           32          880         0.01         0.01            1            3           44
           66           31          900         0.01         0.01            1            4           45
           24           75          920         0.01         0.01            1            6           46
           63           74          940         0.01         0.01            1            4           47
           64           31          960         0.01         0.01            1            6           48
           21           75          980         0.01         0.01            1            2           49
           64           31         1000         0.01         0.01            1            7           50
           64           73         1020         0.01         0.01            1            3           51
           22           34         1040         0.01         0.01            1            7           52
           65           73         1060         0.01         0.01            1            2           53
           21           34         1080         0.01         0.01            1            5           54
           64           76         1100         0.01         0.01            1            4           55
           21           74         1120         0.01         0.01            1            7           56
