Source	Destination	Delay	WaitPick	WaitDrop	SequencePick	SequenceDrop	TaskID          
           23           33            0         0.01         0.01            1            6            1
           65           33            0         0.01         0.01            1            7            2
           23           31            0         0.01         0.01            1            2            3
           65           73            0         0.01         0.01            1            1            4
           24           33            0         0.01         0.01            1            5            5
           66           76            0         0.01         0.01            1            7            6
           23           76            0         0.01         0.01            1            2            7
           64           31            0         0.01         0.01            1            3            8
           65           32            0         0.01         0.01            1            1            9
           63           34            0         0.01         0.01            1            3           10
           22           75            0         0.01         0.01            1            7           11
           23           76            0         0.01         0.01            1            5           12
           63           73            0         0.01         0.01            1            4           13
           63           73            0         0.01         0.01            1            6           14
           65           74            0         0.01         0.01            1            3           15
           24           34            0         0.01         0.01            1            4           16
           63           76            0         0.01         0.01            1            6           17
           63           33            0         0.01         0.01            1            3           18
           64           75            0         0.01         0.01            1            5           19
           23           74            0         0.01         0.01            1            1           20
           21           76            0         0.01         0.01            1            1           21
           66           75            0         0.01         0.01            1            4           22
           24           73            0         0.01         0.01            1            5           23
           65           34            0         0.01         0.01            1            2           24
           24           74            0         0.01         0.01            1            6           25
           66           32            0         0.01         0.01            1            2           26
           21           32            0         0.01         0.01            1            6           27
           21           31            0         0.01         0.01            1            1           28
           21           74            0         0.01         0.01            1            5           29
           23           74            0         0.01         0.01            1            2           30
           66           33            0         0.01         0.01            1            1           31
           64           34            0         0.01         0.01            1            6           32
           65           32            0         0.01         0.01            1            5           33
           22           32            0         0.01         0.01            1            7           34
           22           32            0         0.01         0.01            1            4           35
           22           31            0         0.01         0.01            1            5           36
           66           33            0         0.01         0.01            1            2           37
           24           73            0         0.01         0.01            1            7           38
           24           75            0         0.01         0.01            1            1           39
           63           34            0         0.01         0.01            1            1           40
           23           76            0         0.01         0.01            1            3           41
           66           75            0         0.01         0.01            1            3           42
           22           33            0         0.01         0.01            1            4           43
           22           32            0         0.01         0.01            1            3           44
           66           31            0         0.01         0.01            1            4           45
           24           75            0         0.01         0.01            1            6           46
           63           74            0         0.01         0.01            1            4           47
           64           31            0         0.01         0.01            1            6           48
           21           75            0         0.01         0.01            1            2           49
           64           31            0         0.01         0.01            1            7           50
           64           73            0         0.01         0.01            1            3           51
           22           34            0         0.01         0.01            1            7           52
           65           73            0         0.01         0.01            1            2           53
           21           34            0         0.01         0.01            1            5           54
           64           76            0         0.01         0.01            1            4           55
           21           74            0         0.01         0.01            1            7           56
